Sample	Coalescent Time	First Ascertained	First Unascertained
1512	14.743042	17.553580	2.112620
2082	3.924106	12.600895	5.926505
4250	3.742994	7.885095	9.241070
1887	13.500000	21.428785	3.154330
1112	15.187246	3.289745	10.625150
1082	12.473136	15.010625	8.412520
0991	2.376368	1.952385	7.333580
2353	13.205508	17.109010	0.761390
1377	11.424148	4.750110	4.954510
3555	4.084745	7.886190	5.092845
3976	14.219775	17.077620	5.203440
1934	0.000000	4.896840	1.439560
2840	22.708306	16.829785	3.309090
2222	6.339348	9.812660	5.184825
0022	34.500000	30.756360	9.630890
2471	29.827853	3.886885	10.029105
0443	54.402264	26.009535	15.486220
1660	18.938355	25.519705	4.985535
3779	29.732046	11.346390	3.093010
2977	12.448308	34.742160	4.142020
3535	9.368339	15.069025	4.934435
3267	53.867211	5.031890	9.384150
1002	29.000000	28.383495	10.454695
0006	8.550278	10.860210	6.941570
2668	12.243190	11.982220	8.677875
4921	5.510211	3.293760	5.477190
3985	29.258758	37.599380	9.627605
0466	1.830524	8.810735	2.844080
4301	10.257685	2.157515	10.894155
4206	30.545137	6.439695	2.852110
3223	13.965606	17.568180	14.303620
1390	3.464429	13.442220	3.925210
2876	1.346724	20.345100	2.245480
3652	46.456154	29.683260	9.180115
4444	4.787205	23.957140	6.799585
2662	4.335106	11.816875	4.335470
4356	8.909092	27.863370	2.848460
0665	4.501197	13.491130	3.620800
4081	1.328273	16.342875	3.121115
2644	13.500000	22.823085	6.423635
4785	26.701495	13.467770	7.208750
0652	1.706215	14.683220	12.747260
2609	23.627462	28.612350	15.178160
2603	0.000000	3.669345	0.531805
1164	21.812750	22.805565	6.164120
2465	7.795042	19.182575	7.300365
4354	37.307468	17.112660	9.290710
4966	4.070673	19.506330	9.037765
0195	2.435725	10.957665	6.804695
2229	1.179557	2.346585	3.001030
0308	4.555876	1.420215	6.448820
4942	1.553886	10.781735	5.779775
1123	2.533963	11.307335	8.114315
4427	0.830903	16.182640	2.506455
1240	14.697845	16.388500	2.627635
2741	0.000000	2.880945	3.067825
4945	4.283357	2.857585	8.979000
1801	2.071092	9.096530	9.832370
3450	17.706936	26.969120	6.200985
0776	0.000000	8.703425	5.292500
4419	1.477929	3.564225	9.262605
3978	6.873714	20.150555	5.974685
2262	6.935033	6.520360	14.475535
2456	5.000000	24.399885	2.369580
3875	3.941841	13.272130	3.026580
